qubit_id,tx_state,tx_basis,decoy_level,rx_state,rx_basis,matching_basis
499,0,0,0,0,1,False
500,0,0,2,1,1,False
501,1,0,2,1,0,True
502,1,0,0,1,0,True
503,0,0,2,0,0,True
504,1,0,2,1,1,False
505,1,0,0,1,0,True
506,0,0,0,0,0,True
507,1,0,0,1,0,True
508,0,0,0,1,1,False
509,0,0,0,1,1,False
510,0,0,2,0,1,False
511,1,0,0,1,1,False
512,0,0,0,0,0,True
513,1,0,0,0,1,False
514,1,0,0,0,1,False
515,0,1,0,0,0,False
516,1,0,0,0,1,False
517,1,0,0,1,0,True
518,0,1,2,0,1,True
519,0,0,0,0,1,False
520,1,0,0,1,0,True
521,1,0,0,1,0,True
522,1,0,0,0,1,False
523,0,0,0,0,1,False
524,0,0,0,0,0,True
525,1,0,0,1,1,False
526,1,0,2,1,0,True
527,0,0,2,0,1,False
528,0,0,2,0,1,False
529,0,1,0,1,0,False
530,1,0,0,1,0,True
531,1,0,0,1,1,False
532,0,0,0,0,0,True
533,1,0,0,1,0,True
534,0,0,2,0,1,False
535,0,0,0,0,0,True
536,0,0,2,0,0,True
537,1,0,0,0,1,False
538,1,0,0,1,1,False
539,1,0,0,0,1,False
540,0,0,0,0,1,False
541,1,0,0,1,0,True
542,1,0,0,0,1,False
543,0,0,0,0,1,False
544,1,0,0,1,0,True
545,1,0,0,1,1,False
546,0,1,2,0,1,True
547,1,0,0,0,1,False
548,0,0,0,0,0,True
549,1,0,0,1,0,True
550,1,0,2,1,0,True
551,1,0,0,1,0,True
552,1,0,0,1,0,True
553,0,1,0,1,0,False
554,1,0,2,0,1,False
555,1,0,2,1,1,False
556,0,1,0,0,1,True
557,0,0,0,1,1,False
558,0,0,2,0,0,True
559,0,0,0,0,0,True
560,1,0,2,0,1,False
561,1,0,2,0,1,False
562,0,0,0,1,1,False
563,0,0,0,0,0,True
564,0,0,2,0,1,False
565,1,0,0,1,1,False
566,1,0,0,1,0,True
567,0,0,0,1,1,False
568,0,1,2,0,0,False
569,0,0,0,0,0,True
570,1,0,0,1,0,True
571,0,0,0,0,0,True
572,1,0,0,0,1,False
573,0,0,0,0,1,False
574,1,0,2,1,0,True
575,0,0,0,0,0,True
